"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 10:21:00 GMT+0530 (India Standard Time)","151.55","154.80","151.55","154.80","166.81","178.09","155.53","189.37","144.25","200.65","132.98","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10010845.00","394550.00"
"Wed Jul 15 2026 10:22:00 GMT+0530 (India Standard Time)","154.40","154.80","150.80","152.20","166.68","177.99","155.38","189.30","144.07","200.61","132.76","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10118030.00","343005.00"
"Wed Jul 15 2026 10:23:00 GMT+0530 (India Standard Time)","152.20","153.00","151.00","151.95","166.62","177.95","155.30","189.27","143.98","200.59","132.65","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10204740.00","162175.00"
"Wed Jul 15 2026 10:24:00 GMT+0530 (India Standard Time)","151.95","153.00","150.65","153.00","166.52","177.87","155.18","189.22","143.83","200.56","132.48","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10274290.00","265720.00"
"Wed Jul 15 2026 10:25:00 GMT+0530 (India Standard Time)","153.00","154.00","152.00","153.45","166.43","177.80","155.07","189.16","143.71","200.52","132.35","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10317450.00","260260.00"
"Wed Jul 15 2026 10:26:00 GMT+0530 (India Standard Time)","153.45","153.45","151.30","152.85","166.38","177.75","155.01","189.13","143.64","200.50","132.27","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10417160.00","149435.00"
"Wed Jul 15 2026 10:27:00 GMT+0530 (India Standard Time)","152.85","154.75","152.85","154.15","166.28","177.66","154.90","189.04","143.52","200.42","132.14","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10442965.00","317590.00"
"Wed Jul 15 2026 10:28:00 GMT+0530 (India Standard Time)","154.15","155.75","153.85","154.60","166.16","177.54","154.77","188.92","143.39","200.30","132.01","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10480275.00","434980.00"
"Wed Jul 15 2026 10:29:00 GMT+0530 (India Standard Time)","154.60","155.55","153.35","155.45","166.06","177.44","154.68","188.82","143.30","200.20","131.92","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10546250.00","335400.00"
"Wed Jul 15 2026 10:30:00 GMT+0530 (India Standard Time)","155.45","155.45","152.35","154.70","165.96","177.35","154.58","188.73","143.19","200.12","131.81","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10663575.00","329550.00"
"Wed Jul 15 2026 10:31:00 GMT+0530 (India Standard Time)","154.70","158.35","153.80","155.65","165.78","177.14","154.42","188.50","143.06","199.86","131.70","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10691460.00","755235.00"
"Wed Jul 15 2026 10:32:00 GMT+0530 (India Standard Time)","155.65","158.45","155.60","156.10","165.70","177.04","154.36","188.38","143.02","199.73","131.67","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10519665.00","372710.00"
"Wed Jul 15 2026 10:33:00 GMT+0530 (India Standard Time)","156.10","158.40","155.70","157.45","165.64","176.97","154.32","188.29","142.99","199.62","131.67","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10537735.00","284765.00"
"Wed Jul 15 2026 10:34:00 GMT+0530 (India Standard Time)","157.45","158.50","156.00","157.40","165.60","176.91","154.29","188.22","142.98","199.54","131.67","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10552815.00","211250.00"
"Wed Jul 15 2026 10:35:00 GMT+0530 (India Standard Time)","157.40","158.30","156.80","157.70","165.55","176.85","154.26","188.14","142.96","199.43","131.67","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10546575.00","259740.00"
"Wed Jul 15 2026 10:36:00 GMT+0530 (India Standard Time)","157.70","159.90","156.80","159.50","165.49","176.74","154.23","188.00","142.97","199.26","131.71","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10523890.00","415350.00"
"Wed Jul 15 2026 10:37:00 GMT+0530 (India Standard Time)","159.50","160.80","158.75","159.60","165.42","176.62","154.21","187.83","143.00","199.04","131.79","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10513555.00","525070.00"
"Wed Jul 15 2026 10:38:00 GMT+0530 (India Standard Time)","159.60","161.65","159.00","159.95","165.35","176.50","154.20","187.65","143.04","198.80","131.89","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10578685.00","569075.00"
"Wed Jul 15 2026 10:39:00 GMT+0530 (India Standard Time)","160.30","160.50","158.55","159.00","165.31","176.43","154.18","187.55","143.06","198.68","131.93","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10531300.00","311740.00"
"Wed Jul 15 2026 10:40:00 GMT+0530 (India Standard Time)","158.95","159.45","158.30","158.65","165.28","176.38","154.17","187.49","143.06","198.60","131.96","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10478975.00","207675.00"
"Wed Jul 15 2026 10:41:00 GMT+0530 (India Standard Time)","158.80","159.20","156.65","157.35","165.21","176.28","154.13","187.36","143.05","198.44","131.97","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10435620.00","418730.00"
"Wed Jul 15 2026 10:42:00 GMT+0530 (India Standard Time)","157.50","157.60","153.75","154.45","165.10","176.16","154.03","187.23","142.96","198.29","131.90","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10308935.00","498290.00"
"Wed Jul 15 2026 10:43:00 GMT+0530 (India Standard Time)","154.45","156.50","153.00","156.25","165.03","176.09","153.98","187.15","142.92","198.21","131.86","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10303930.00","289965.00"
"Wed Jul 15 2026 10:44:00 GMT+0530 (India Standard Time)","156.25","157.00","154.90","155.25","164.99","176.04","153.94","187.09","142.89","198.14","131.84","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10322975.00","215865.00"
"Wed Jul 15 2026 10:45:00 GMT+0530 (India Standard Time)","155.25","155.75","153.50","154.10","164.94","175.99","153.89","187.04","142.84","198.09","131.80","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10367175.00","213395.00"
"Wed Jul 15 2026 10:46:00 GMT+0530 (India Standard Time)","154.10","155.90","152.50","155.65","164.87","175.91","153.83","186.95","142.78","198.00","131.74","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10453625.00","333060.00"
"Wed Jul 15 2026 10:47:00 GMT+0530 (India Standard Time)","155.65","156.35","155.00","155.50","164.83","175.87","153.79","186.90","142.76","197.94","131.72","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10542740.00","192660.00"
"Wed Jul 15 2026 10:48:00 GMT+0530 (India Standard Time)","155.50","158.15","155.50","157.50","164.79","175.81","153.77","186.83","142.75","197.85","131.73","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10589800.00","254345.00"
"Wed Jul 15 2026 10:49:00 GMT+0530 (India Standard Time)","157.60","157.60","155.00","156.15","164.76","175.77","153.75","186.79","142.73","197.80","131.72","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10619895.00","156455.00"
"Wed Jul 15 2026 10:50:00 GMT+0530 (India Standard Time)","156.15","158.85","155.95","158.30","164.73","175.72","153.73","186.72","142.73","197.72","131.73","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10610340.00","221195.00"
"Wed Jul 15 2026 10:51:00 GMT+0530 (India Standard Time)","158.30","161.40","157.65","160.65","164.67","175.62","153.72","186.57","142.77","197.52","131.83","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10621000.00","522925.00"
"Wed Jul 15 2026 10:52:00 GMT+0530 (India Standard Time)","160.65","163.00","158.70","158.95","164.62","175.51","153.73","186.40","142.83","197.29","131.94","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10482745.00","618930.00"
"Wed Jul 15 2026 10:53:00 GMT+0530 (India Standard Time)","158.95","159.20","155.95","157.45","164.56","175.43","153.70","186.30","142.83","197.17","131.96","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10490545.00","356785.00"
"Wed Jul 15 2026 10:54:00 GMT+0530 (India Standard Time)","157.45","159.25","157.05","158.75","164.54","175.39","153.69","186.24","142.83","197.09","131.98","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10456550.00","218985.00"
"Wed Jul 15 2026 10:55:00 GMT+0530 (India Standard Time)","158.75","163.40","158.75","162.20","164.50","175.28","153.71","186.07","142.92","196.86","132.14","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10598185.00","638105.00"
"Wed Jul 15 2026 10:56:00 GMT+0530 (India Standard Time)","162.20","163.75","159.40","160.80","164.47","175.21","153.73","185.96","142.98","196.70","132.24","267.60","320.70","235.70","352.60","182.60","437.60","97.60","10537605.00","443430.00"
