"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 10:16:00 GMT+0530 (India Standard Time)","154.30","157.70","152.55","157.10","148.14","160.95","135.33","173.76","122.52","186.58","109.71","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","9048455.00","728260.00"
"Wed Jul 15 2026 10:17:00 GMT+0530 (India Standard Time)","157.10","162.00","157.05","160.50","148.52","161.29","135.75","174.06","122.97","186.84","110.20","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8915790.00","1753765.00"
"Wed Jul 15 2026 10:18:00 GMT+0530 (India Standard Time)","160.50","161.05","158.00","160.85","148.72","161.46","135.97","174.21","123.22","186.96","110.47","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8827325.00","949975.00"
"Wed Jul 15 2026 10:19:00 GMT+0530 (India Standard Time)","160.85","163.00","158.25","159.20","148.93","161.65","136.20","174.37","123.48","187.10","110.75","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8707010.00","1039805.00"
"Wed Jul 15 2026 10:20:00 GMT+0530 (India Standard Time)","158.75","160.00","157.40","159.50","149.02","161.73","136.32","174.43","123.62","187.13","110.92","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8679255.00","555555.00"
"Wed Jul 15 2026 10:21:00 GMT+0530 (India Standard Time)","159.50","159.50","155.60","155.60","149.09","161.76","136.42","174.43","123.76","187.09","111.09","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8669375.00","487955.00"
"Wed Jul 15 2026 10:22:00 GMT+0530 (India Standard Time)","155.60","160.00","155.60","158.60","149.16","161.81","136.52","174.45","123.88","187.09","111.24","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8656310.00","469495.00"
"Wed Jul 15 2026 10:23:00 GMT+0530 (India Standard Time)","158.60","160.45","158.05","159.25","149.23","161.86","136.61","174.48","123.98","187.11","111.35","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8750755.00","382785.00"
"Wed Jul 15 2026 10:24:00 GMT+0530 (India Standard Time)","159.25","161.30","158.25","158.25","149.30","161.91","136.69","174.52","124.09","187.13","111.48","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8768435.00","421590.00"
"Wed Jul 15 2026 10:25:00 GMT+0530 (India Standard Time)","158.25","159.75","157.00","158.35","149.36","161.95","136.76","174.54","124.17","187.13","111.58","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8752575.00","342615.00"
"Wed Jul 15 2026 10:26:00 GMT+0530 (India Standard Time)","158.35","160.40","158.35","158.50","149.39","161.97","136.81","174.56","124.23","187.14","111.65","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8786375.00","232830.00"
"Wed Jul 15 2026 10:27:00 GMT+0530 (India Standard Time)","158.50","158.80","155.75","156.60","149.44","162.00","136.89","174.55","124.33","187.11","111.78","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8786765.00","390260.00"
"Wed Jul 15 2026 10:28:00 GMT+0530 (India Standard Time)","156.60","156.75","153.80","155.35","149.50","162.01","136.98","174.52","124.47","187.03","111.96","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8710650.00","525915.00"
"Wed Jul 15 2026 10:29:00 GMT+0530 (India Standard Time)","155.35","156.70","153.95","154.60","149.52","162.01","137.03","174.50","124.53","186.99","112.04","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8710715.00","243360.00"
"Wed Jul 15 2026 10:30:00 GMT+0530 (India Standard Time)","154.60","158.85","154.60","155.35","149.56","162.02","137.09","174.49","124.63","186.95","112.16","113.58","141.17","65.42","189.33","37.83","265.08","-37.92","8757515.00","354965.00"
