"Date","Open","High","Low","Close","VWAP ‌VWAP‌ (y,y,y)","SDVWAP1+ ‌VWAP‌ (y,y,y)","SDVWAP1- ‌VWAP‌ (y,y,y)","SDVWAP2+ ‌VWAP‌ (y,y,y)","SDVWAP2- ‌VWAP‌ (y,y,y)","SDVWAP3+ ‌VWAP‌ (y,y,y)","SDVWAP3- ‌VWAP‌ (y,y,y)","Pivot ‌Pivot Points‌ (standard,n)","Resistance 1 ‌Pivot Points‌ (standard,n)","Support 1 ‌Pivot Points‌ (standard,n)","Resistance 2 ‌Pivot Points‌ (standard,n)","Support 2 ‌Pivot Points‌ (standard,n)","Resistance 3 ‌Pivot Points‌ (standard,n)","Support 3 ‌Pivot Points‌ (standard,n)","OI","Volume"
"Wed Jul 15 2026 10:13:00 GMT+0530 (India Standard Time)","24204.90","24208.00","24192.50","24200.00","24169.02","24205.26","24132.78","24241.51","24096.54","24277.75","24060.29","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16279120.00","2405.00"
"Wed Jul 15 2026 10:14:00 GMT+0530 (India Standard Time)","24200.00","24208.90","24198.00","24208.90","24169.16","24205.40","24132.92","24241.64","24096.67","24277.89","24060.43","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16279120.00","3705.00"
"Wed Jul 15 2026 10:15:00 GMT+0530 (India Standard Time)","24208.90","24217.90","24202.10","24210.00","24169.62","24205.92","24133.33","24242.21","24097.03","24278.51","24060.74","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16278600.00","11180.00"
"Wed Jul 15 2026 10:16:00 GMT+0530 (India Standard Time)","24210.00","24212.00","24198.80","24209.90","24169.81","24206.11","24133.51","24242.41","24097.21","24278.71","24060.91","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16281655.00","5070.00"
"Wed Jul 15 2026 10:17:00 GMT+0530 (India Standard Time)","24209.90","24225.00","24208.20","24225.00","24170.82","24207.43","24134.22","24244.03","24097.61","24280.64","24061.01","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16281330.00","20670.00"
"Wed Jul 15 2026 10:18:00 GMT+0530 (India Standard Time)","24215.00","24225.00","24215.00","24221.00","24171.26","24208.00","24134.52","24244.73","24097.79","24281.47","24061.05","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16276780.00","9035.00"
"Wed Jul 15 2026 10:19:00 GMT+0530 (India Standard Time)","24221.00","24228.20","24215.30","24218.00","24171.76","24208.65","24134.88","24245.53","24098.00","24282.41","24061.12","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16276260.00","10595.00"
"Wed Jul 15 2026 10:20:00 GMT+0530 (India Standard Time)","24218.00","24225.20","24212.90","24223.90","24172.31","24209.34","24135.28","24246.38","24098.24","24283.41","24061.21","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16279250.00","11635.00"
"Wed Jul 15 2026 10:21:00 GMT+0530 (India Standard Time)","24223.90","24224.00","24213.00","24215.00","24172.54","24209.61","24135.46","24246.69","24098.38","24283.77","24061.30","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16282500.00","5265.00"
"Wed Jul 15 2026 10:22:00 GMT+0530 (India Standard Time)","24215.00","24221.60","24212.00","24219.00","24172.64","24209.73","24135.54","24246.83","24098.44","24283.93","24061.34","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16283475.00","2340.00"
"Wed Jul 15 2026 10:23:00 GMT+0530 (India Standard Time)","24219.00","24223.90","24215.10","24220.00","24172.71","24209.82","24135.59","24246.94","24098.48","24284.05","24061.37","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16284775.00","1625.00"
"Wed Jul 15 2026 10:24:00 GMT+0530 (India Standard Time)","24220.00","24222.00","24215.00","24215.70","24172.78","24209.91","24135.65","24247.04","24098.53","24284.17","24061.40","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16284710.00","1755.00"
"Wed Jul 15 2026 10:25:00 GMT+0530 (India Standard Time)","24215.70","24220.00","24215.00","24215.00","24172.89","24210.03","24135.74","24247.18","24098.60","24284.32","24061.45","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16284450.00","2535.00"
"Wed Jul 15 2026 10:26:00 GMT+0530 (India Standard Time)","24219.90","24220.00","24215.00","24215.00","24172.94","24210.09","24135.78","24247.24","24098.63","24284.40","24061.47","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16284125.00","1170.00"
"Wed Jul 15 2026 10:27:00 GMT+0530 (India Standard Time)","24215.00","24219.00","24212.00","24213.10","24173.00","24210.16","24135.84","24247.32","24098.68","24284.49","24061.52","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16284385.00","1690.00"
"Wed Jul 15 2026 10:28:00 GMT+0530 (India Standard Time)","24213.10","24215.00","24206.00","24206.00","24173.07","24210.23","24135.91","24247.39","24098.75","24284.55","24061.59","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16285230.00","2015.00"
"Wed Jul 15 2026 10:29:00 GMT+0530 (India Standard Time)","24206.00","24210.00","24203.00","24210.00","24173.17","24210.32","24136.02","24247.48","24098.87","24284.63","24061.72","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16285100.00","3120.00"
"Wed Jul 15 2026 10:30:00 GMT+0530 (India Standard Time)","24210.00","24215.00","24208.00","24209.00","24173.34","24210.49","24136.18","24247.64","24099.03","24284.79","24061.88","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16282565.00","4680.00"
"Wed Jul 15 2026 10:31:00 GMT+0530 (India Standard Time)","24215.00","24215.00","24204.00","24204.00","24173.45","24210.59","24136.30","24247.73","24099.16","24284.88","24062.01","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16283735.00","3445.00"
"Wed Jul 15 2026 10:32:00 GMT+0530 (India Standard Time)","24204.00","24212.00","24204.00","24212.00","24173.47","24210.61","24136.33","24247.76","24099.18","24284.90","24062.04","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16283995.00","715.00"
"Wed Jul 15 2026 10:33:00 GMT+0530 (India Standard Time)","24212.00","24212.00","24201.40","24209.00","24173.56","24210.69","24136.42","24247.83","24099.28","24284.96","24062.15","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16282370.00","2730.00"
"Wed Jul 15 2026 10:34:00 GMT+0530 (India Standard Time)","24209.00","24210.00","24201.00","24201.50","24173.64","24210.76","24136.52","24247.88","24099.40","24285.00","24062.28","24063.63","24118.27","23967.37","24214.53","23912.73","24365.43","23761.83","16282305.00","2990.00"
